All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,fips_x,Incidence_Rate,Avg_Ann_Incidence,fips_y,Mortality_Rate,Avg_Ann_Deaths
2122,984,1138,13079,41825.0,44298.0,28682.0,,,,5257,1072,5226,836,10483,1908,13079,100.7,16.0,13079,65.9,9.0
7468,3161,4307,13081,31615.0,47089.0,17637.0,,,52893.0,8719,1980,9882,2284,18601,4264,13081,72.3,21.0,13081,59.2,17.0
2300,986,1314,13083,46434.0,47377.0,,,,,6555,1335,7142,1264,13697,2599,13083,79.7,17.0,13083,79.3,16.0
3156,1372,1784,13085,56943.0,57078.0,,,,42721.0,9301,1797,9935,1457,19236,3254,13085,74.1,21.0,13085,61.8,16.0
7418,3071,4347,13087,31284.0,38125.0,22021.0,55417.0,,50427.0,9471,2732,11253,2606,20724,5338,13087,70.4,23.0,13087,58.2,19.0
135469,61067,74402,13089,51376.0,73219.0,42048.0,41875.0,53266.0,36789.0,266420,70503,307491,64529,573911,135032,13089,53.2,311.0,13089,37.8,216.0
4279,2065,2214,13091,34271.0,41636.0,26994.0,,,17806.0,7503,1809,8548,1351,16051,3160,13091,81.3,20.0,13091,53.6,13.0
3673,1729,1944,13093,28696.0,30847.0,22813.0,,,38223.0,4541,1544,5394,1140,9935,2684,13093,58.6,10.0,13093,29.8,5.0
27557,11753,15804,13095,32084.0,50469.0,26399.0,,,34063.0,32319,9804,40211,9197,72530,19001,13095,73.4,72.0,13095,60.9,59.0
22118,9856,12262,13097,53881.0,56579.0,49904.0,33500.0,64697.0,47247.0,53134,11539,59541,11129,112675,22668,13097,81.1,90.0,13097,55.0,59.0
2916,1293,1623,13099,31680.0,44729.0,20277.0,,,2499.0,3871,934,4701,914,8572,1848,13099,61.5,9.0,13099,60.1,8.0
1170,436,734,13101,32959.0,34337.0,,,,23459.0,1259,634,1488,667,2747,1301,13101,,2.0,13101,,
5749,2473,3276,13103,63100.0,67761.0,40513.0,,82661.0,62769.0,22974,3773,22833,4476,45807,8249,13103,85.2,41.0,13103,65.8,29.0
3664,1459,2205,13105,35388.0,41173.0,20120.0,,,39097.0,7653,1521,8694,1435,16347,2956,13105,73.4,20.0,13105,56.0,15.0
6700,3151,3549,13107,32229.0,38174.0,23941.0,,2499.0,37156.0,7750,2841,9203,2169,16953,5010,13107,67.6,18.0,13107,59.3,16.0
2857,1127,1730,13109,37865.0,42868.0,31389.0,,,22131.0,3903,817,4597,1013,8500,1830,13109,68.8,9.0,13109,54.8,7.0
5404,2047,3357,13111,37049.0,37117.0,,80192.0,,33889.0,9310,2140,10093,2040,19403,4180,13111,73.2,29.0,13111,46.6,20.0
9129,3883,5246,13113,79066.0,78589.0,80639.0,65714.0,78424.0,51544.0,47425,4750,50925,4698,98350,9448,13113,47.4,57.0,13113,34.1,40.0
19605,9048,10557,13115,41549.0,46211.0,26090.0,,48675.0,31492.0,36663,8536,40916,7882,77579,16418,13115,81.1,92.0,13115,55.5,63.0
13547,5932,7615,13117,88816.0,87872.0,74545.0,80913.0,117064.0,49496.0,85640,11472,87649,10870,173289,22342,13117,60.6,90.0,13117,35.0,51.0
5122,2253,2869,13119,33816.0,35323.0,23000.0,,,26964.0,8671,2036,9360,1836,18031,3872,13119,81.4,25.0,13119,64.5,19.0
167391,72577,94814,13121,57207.0,84666.0,36030.0,32048.0,93780.0,43655.0,395438,75916,432816,71007,828254,146923,13121,54.5,431.0,13121,38.3,298.0
6664,3541,3123,13123,40228.0,40731.0,,148125.0,151250.0,27931.0,10809,3588,11237,2791,22046,6379,13123,76.1,32.0,13123,39.1,16.0
483,237,246,13125,40759.0,44875.0,19514.0,,,,1233,242,1243,274,2476,516,13125,,2.0,13125,,
14981,6339,8642,13127,45918.0,55254.0,26347.0,26397.0,40769.0,47688.0,30774,7351,35063,7594,65837,14945,13127,71.9,73.0,13127,50.9,51.0
11188,5321,5867,13129,41612.0,42847.0,25995.0,,52500.0,32918.0,21972,5414,22625,5339,44597,10753,13129,94.7,55.0,13129,74.1,43.0
7648,3529,4119,13131,34187.0,41419.0,19654.0,,,17961.0,9315,3037,9964,2735,19279,5772,13131,74.0,23.0,13131,64.5,19.0
4033,1870,2163,13133,42408.0,57795.0,22827.0,,49044.0,20473.0,6205,1667,6972,1310,13177,2977,13133,69.9,19.0,13133,37.3,10.0
117553,54558,62995,13135,60289.0,69649.0,52203.0,47143.0,57135.0,38924.0,330105,87272,355186,81567,685291,168839,13135,51.8,288.0,13135,37.3,200.0
7220,3357,3863,13137,40907.0,41470.0,30000.0,58750.0,44028.0,34929.0,16605,3957,16796,3866,33401,7823,13137,64.4,35.0,13137,49.3,27.0
34120,16393,17727,13139,51202.0,53476.0,33260.0,,53400.0,39501.0,73737,19196,76493,17175,150230,36371,13139,61.2,108.0,13139,45.6,81.0
2113,835,1278,13141,24925.0,37994.0,22083.0,,,,2620,447,3321,625,5941,1072,13141,38.8,5.0,13141,41.6,5.0
5724,2583,3141,13143,41910.0,42532.0,32054.0,2499.0,36429.0,,11440,2323,12250,2189,23690,4512,13143,94.4,33.0,13143,76.0,26.0
2991,1317,1674,13145,63824.0,74078.0,31464.0,,95139.0,103902.0,13962,1999,14769,1625,28731,3624,13145,62.0,24.0,13145,45.8,17.0
5403,2421,2982,13147,37653.0,39567.0,24020.0,,,35610.0,9591,2477,10690,1905,20281,4382,13147,69.0,25.0,13147,51.1,19.0
2349,1048,1301,13149,41525.0,42512.0,29650.0,13750.0,,18542.0,4696,946,4900,932,9596,1878,13149,104.6,15.0,13149,64.6,9.0
27162,11870,15292,13151,60424.0,62010.0,58448.0,,72840.0,46703.0,85371,14877,94784,15133,180155,30010,13151,60.3,102.0,13151,46.7,74.0
25111,10623,14488,13153,53270.0,58985.0,41191.0,28500.0,52375.0,53719.0,58947,10117,65869,9306,124816,19423,13153,73.2,96.0,13153,56.4,72.0
2300,1081,1219,13155,34156.0,42619.0,22332.0,,,,3483,913,3663,807,7146,1720,13155,83.4,10.0,13155,68.5,8.0
8314,3770,4544,13157,53379.0,54911.0,31625.0,47974.0,58750.0,47549.0,25164,4923,26283,4530,51447,9453,13157,78.4,50.0,13157,62.1,37.0
2785,1269,1516,13159,42368.0,43550.0,38393.0,,,,5250,1356,5831,1056,11081,2412,13159,78.7,12.0,13159,45.2,7.0
3309,1383,1926,13161,36385.0,37822.0,20357.0,,,29866.0,5847,1475,5753,1799,11600,3274,13161,76.2,13.0,13161,74.9,13.0
4889,2228,2661,13163,26557.0,41547.0,17467.0,55833.0,,15608.0,5460,2074,6623,1709,12083,3783,13163,62.8,14.0,13163,68.8,14.0
2984,1335,1649,13165,24604.0,29552.0,19763.0,,,,3388,1032,3609,811,6997,1843,13165,68.6,7.0,13165,60.0,6.0
2125,1064,1061,13167,34438.0,40158.0,16637.0,,,,4053,936,3524,722,7577,1658,13167,65.4,8.0,13167,53.9,7.0
4770,2119,2651,13169,51857.0,56293.0,38529.0,,,86806.0,11697,2189,12775,1798,24472,3987,13169,79.9,27.0,13169,56.7,18.0
3713,1794,1919,13171,40344.0,47421.0,20448.0,,,36146.0,6918,1516,7795,1609,14713,3125,13171,86.5,18.0,13171,70.7,15.0
2675,1226,1449,13173,37605.0,44768.0,16422.0,,,36625.0,3545,1171,4178,968,7723,2139,13173,77.2,8.0,13173,63.3,6.0
12823,5604,7219,13175,32356.0,38798.0,20954.0,,,37019.0,18632,3499,21023,3685,39655,7184,13175,69.5,41.0,13175,54.6,32.0
3417,1356,2061,13177,61537.0,64484.0,51638.0,,50833.0,,11578,1659,12983,1398,24561,3057,13177,83.2,19.0,13177,62.2,14.0
11047,4963,6084,13179,42201.0,44140.0,40170.0,35694.0,45833.0,43938.0,22886,4140,27203,3953,50089,8093,13179,76.8,30.0,13179,46.7,18.0
1912,799,1113,13181,34243.0,36931.0,27500.0,,,,3005,613,3339,676,6344,1289,13181,65.3,7.0,13181,54.5,6.0
2936,1244,1692,13183,48863.0,51000.0,41222.0,18813.0,,29259.0,5944,1405,7095,1139,13039,2544,13183,88.9,10.0,13183,60.6,7.0
28907,13270,15637,13185,36834.0,45193.0,24116.0,103971.0,29704.0,27230.0,40735,10962,46699,10123,87434,21085,13185,65.3,62.0,13185,52.8,49.0
5559,2398,3161,13187,43804.0,44625.0,,,,43571.0,12100,2752,13756,1907,25856,4659,13187,72.3,24.0,13187,50.0,16.0
5410,2397,3013,13189,36656.0,50554.0,22130.0,,,17679.0,8135,1936,9121,2099,17256,4035,13189,69.5,18.0,13189,57.6,14.0
2956,1296,1660,13191,42988.0,50587.0,27511.0,,,55948.0,5469,1281,6025,1132,11494,2413,13191,55.0,11.0,13191,39.5,8.0
3639,1541,2098,13193,28684.0,41875.0,17660.0,,56645.0,,4552,1488,5046,1199,9598,2687,13193,69.0,11.0,13193,55.9,9.0
4798,2176,2622,13195,41912.0,42850.0,30750.0,45750.0,,28886.0,11295,2515,12103,2143,23398,4658,13195,90.4,31.0,13195,70.8,23.0
1836,640,1196,13197,36242.0,39266.0,26210.0,,,223750.0,3072,1249,3655,663,6727,1912,13197,64.6,7.0,13197,56.7,6.0
4733,2135,2598,13199,35832.0,44852.0,24829.0,,,,8287,1832,9123,1925,17410,3757,13199,66.8,19.0,13199,54.0,15.0
1608,648,960,13201,33983.0,42076.0,17279.0,,,,2210,518,2575,471,4785,989,13201,89.1,8.0,13201,64.8,6.0
5905,2385,3520,13205,31915.0,39833.0,25763.0,,,28929.0,7804,2078,8547,2342,16351,4420,13205,85.1,23.0,13205,56.2,15.0
3492,1480,2012,13207,48744.0,54655.0,22596.0,,,58958.0,10708,1782,11425,1731,22133,3513,13207,72.7,24.0,13207,41.0,13.0
2076,979,1097,13209,34672.0,38542.0,25243.0,,,36250.0,3344,832,3630,785,6974,1617,13209,71.7,7.0,13209,66.8,6.0
2529,1047,1482,13211,51820.0,58421.0,32572.0,,,,7275,1122,7953,1354,15228,2476,13211,65.5,16.0,13211,49.2,11.0
7765,3685,4080,13213,35539.0,35208.0,,,,48656.0,14877,4265,16243,3793,31120,8058,13213,103.1,42.0,13213,69.7,28.0
38921,16697,22224,13215,42306.0,53668.0,32351.0,61741.0,62361.0,39164.0,71343,14830,87018,13855,158361,28685,13215,70.3,134.0,13215,51.7,99.0
17281,7478,9803,13217,49179.0,51827.0,46070.0,31875.0,62557.0,41530.0,40481,7653,45244,8348,85725,16001,13217,78.9,69.0,13217,59.5,51.0
2487,1084,1403,13219,72182.0,73102.0,42399.0,250001.0,130643.0,50724.0,14971,1716,15812,1701,30783,3417,13219,46.8,15.0,13219,34.3,11.0
2316,1054,1262,13221,44226.0,49177.0,24881.0,,,40464.0,6078,1142,6369,957,12447,2099,13221,75.4,14.0,13221,44.5,8.0
18445,7439,11006,13223,60109.0,60992.0,57598.0,60068.0,48077.0,52163.0,61605,10000,65284,9849,126889,19849,13223,77.7,83.0,13223,51.9,51.0
5471,2439,3032,13225,41588.0,54362.0,32062.0,,,26215.0,10354,2667,11558,2377,21912,5044,13225,77.9,22.0,13225,71.9,20.0
3418,1479,1939,13227,54123.0,54863.0,,,,,12454,2293,12939,1782,25393,4075,13227,82.3,34.0,13227,54.0,22.0
4455,2269,2186,13229,40247.0,43400.0,15809.0,,,34655.0,7350,1945,7718,1777,15068,3722,13229,80.1,18.0,13229,70.5,16.0
2132,1008,1124,13231,51338.0,53792.0,32500.0,,,,7234,1444,7439,1428,14673,2872,13231,75.6,15.0,13231,62.9,12.0
8767,3831,4936,13233,37853.0,39732.0,28987.0,,37756.0,51033.0,15636,4410,17711,3149,33347,7559,13233,102.0,48.0,13233,77.5,37.0
1929,655,1274,13235,38750.0,46435.0,22250.0,,,26208.0,3916,858,4421,852,8337,1710,13235,50.6,8.0,13235,37.8,6.0
3446,1912,1534,13237,44299.0,54436.0,32725.0,,,27053.0,8179,2278,9375,1249,17554,3527,13237,74.4,23.0,13237,55.9,17.0
558,208,350,13239,31487.0,32069.0,27049.0,,,,855,251,1046,174,1901,425,13239,110.8,5.0,13239,87.2,4.0
3458,1544,1914,13241,35211.0,37178.0,,,,,5685,2167,6431,1784,12116,3951,13241,67.1,18.0,13241,46.3,13.0
2145,1079,1066,13243,28377.0,45208.0,22054.0,,,,2791,888,2898,620,5689,1508,13243,56.6,6.0,13243,40.9,5.0
48498,20943,27555,13245,37424.0,46154.0,31130.0,34861.0,42050.0,43258.0,73605,15946,86184,15914,159789,31860,13245,72.7,148.0,13245,56.8,113.0
14155,6535,7620,13247,50455.0,50519.0,50814.0,,54375.0,34393.0,32871,7965,36981,8361,69852,16326,13247,60.7,49.0,13247,40.3,32.0
1187,512,675,13249,39375.0,48864.0,20117.0,,,,1907,610,2016,541,3923,1151,13249,69.9,4.0,13249,,
3482,1551,1931,13251,34466.0,42857.0,22873.0,,,,5274,1358,5852,1327,11126,2685,13251,79.1,15.0,13251,57.0,10.0
1595,594,1001,13253,34905.0,42863.0,21538.0,,,34398.0,3165,893,3756,849,6921,1742,13253,66.4,9.0,13253,38.8,5.0
14238,5975,8263,13255,40246.0,48097.0,24870.0,42885.0,36299.0,33025.0,24186,5838,28153,4617,52339,10455,13255,74.3,55.0,13255,52.2,38.0
4707,2468,2239,13257,40315.0,42979.0,23784.0,,,,10161,2186,11520,1748,21681,3934,13257,76.8,27.0,13257,63.1,22.0
1645,693,952,13259,21118.0,45833.0,15295.0,,,,1401,648,1860,389,3261,1037,13259,65.5,4.0,13259,65.0,4.0
9741,4124,5617,13261,32758.0,46492.0,22610.0,,33952.0,22284.0,11738,2388,13950,2450,25688,4838,13261,63.1,22.0,13261,48.6,17.0
1291,630,661,13263,34078.0,40513.0,25156.0,,,62083.0,2635,485,2787,563,5422,1048,13263,73.2,7.0,13263,61.4,5.0
511,195,316,13265,26306.0,33417.0,23531.0,,,,620,209,748,144,1368,353,13265,,2.0,13265,,
5646,2173,3473,13267,33980.0,40830.0,18161.0,,,24150.0,7168,1613,8696,1947,15864,3560,13267,100.8,26.0,13267,79.1,20.0
2351,1041,1310,13269,28143.0,36079.0,20049.0,,,,2958,903,3593,739,6551,1642,13269,54.2,6.0,13269,43.1,5.0
3565,1401,2164,13271,26449.0,30054.0,20500.0,,,29278.0,4484,1276,5636,1127,10120,2403,13271,55.1,11.0,13271,45.6,9.0
3216,1329,1887,13273,28688.0,50152.0,19776.0,,,,3138,942,3922,881,7060,1823,13273,63.0,8.0,13273,53.7,6.0
10335,4943,5392,13275,36641.0,45275.0,24514.0,,50779.0,32552.0,16665,4194,19432,3831,36097,8025,13275,74.5,41.0,13275,60.6,34.0
11372,4841,6531,13277,37653.0,47480.0,23706.0,,,27198.0,14468,4956,16409,4533,30877,9489,13277,71.4,31.0,13277,54.1,23.0
6674,2769,3905,13279,33679.0,41875.0,22629.0,,,28851.0,9405,3180,11303,2984,20708,6164,13279,74.0,23.0,13279,58.6,18.0
1862,817,1045,13281,37000.0,37199.0,,,,,4375,762,4735,764,9110,1526,13281,62.4,15.0,13281,56.5,12.0
1242,491,751,13283,38596.0,45664.0,21974.0,,,,2427,519,2918,501,5345,1020,13283,78.5,6.0,13283,61.0,5.0
14388,5631,8757,13285,41489.0,49748.0,27204.0,,72557.0,51004.0,26673,5391,30199,5172,56872,10563,13285,71.1,52.0,13285,50.6,37.0
2027,1067,960,13287,31806.0,41092.0,24082.0,,,2499.0,2846,1128,3240,770,6086,1898,13287,80.4,9.0,13287,54.9,6.0
2324,976,1348,13289,30468.0,38080.0,20438.0,,,,3447,682,3660,630,7107,1312,13289,91.8,12.0,13289,57.2,7.0
2860,1353,1507,13291,40799.0,40645.0,,,48050.0,56319.0,8616,1695,9628,1331,18244,3026,13291,70.4,30.0,13291,43.5,18.0
6137,2988,3149,13293,35774.0,39387.0,27769.0,,,25136.0,10356,1973,11483,2142,21839,4115,13293,87.8,31.0,13293,56.5,20.0
11818,5435,6383,13295,41632.0,42330.0,30093.0,,,57926.0,27895,4896,28522,5676,56417,10572,13295,84.3,72.0,13295,76.4,65.0
11801,4642,7159,13297,54453.0,57341.0,32407.0,21783.0,82011.0,64000.0,36422,5187,37677,6185,74099,11372,13297,67.9,61.0,13297,53.5,47.0
9686,3807,5879,13299,34909.0,40436.0,24617.0,,,37813.0,12488,3237,14200,3448,26688,6685,13299,70.6,32.0,13299,50.6,22.0
1485,619,866,13301,29176.0,42344.0,19915.0,,,,2094,438,2470,481,4564,919,13301,84.9,7.0,13301,70.4,6.0
4961,2052,2909,13303,37932.0,52253.0,23329.0,,,21477.0,7449,1569,8563,1594,16012,3163,13303,68.2,17.0,13303,49.4,12.0
5633,2316,3317,13305,38955.0,44301.0,22129.0,12212.0,,26875.0,10408,3006,11328,3135,21736,6141,13305,76.2,25.0,13305,59.3,19.0
608,222,386,13307,37063.0,51544.0,30120.0,,,,1238,127,1078,272,2316,399,13307,,2.0,13307,,
1177,404,773,13309,27620.0,30807.0,15475.0,,,,1508,335,1962,544,3470,879,13309,62.8,5.0,13309,51.2,4.0
5195,2364,2831,13311,40888.0,41737.0,32250.0,,,31508.0,11160,2236,11932,2264,23092,4500,13311,69.8,27.0,13311,47.3,17.0
19270,8532,10738,13313,40596.0,41076.0,26577.0,,52188.0,36447.0,39089,11898,40821,10887,79910,22785,13313,77.6,79.0,13313,64.5,64.0
1599,675,924,13315,32043.0,38750.0,21512.0,,,,2808,532,3002,597,5810,1129,13315,64.9,7.0,13315,45.7,5.0
2795,1122,1673,13317,32727.0,43893.0,20518.0,,26705.0,30385.0,3817,797,4416,788,8233,1585,13317,66.0,10.0,13317,57.7,9.0
1640,661,979,13319,38485.0,44931.0,26989.0,,,37813.0,3862,674,4275,476,8137,1150,13319,79.9,11.0,13319,56.9,8.0
4445,1961,2484,13321,37974.0,44709.0,24994.0,,,30688.0,7876,2283,8636,2197,16512,4480,13321,70.8,19.0,13321,51.3,13.0
36756,17957,18799,15001,52108.0,52303.0,50221.0,28003.0,56380.0,41302.0,86553,8577,88674,6523,175227,15100,15001,44.9,107.0,15001,33.3,79.0
92404,41559,50845,15003,74460.0,75175.0,62866.0,50593.0,77807.0,61601.0,429201,26111,457423,20975,886624,47086,15003,48.3,550.0,15003,32.9,377.0
12,5,7,15005,66250.0,,,,,,32,4,35,4,67,8,15005,,2.0,15005,,
7384,3291,4093,15007,65101.0,62964.0,66172.0,78605.0,66174.0,59022.0,31135,3317,32223,2228,63358,5545,15007,45.2,39.0,15007,34.6,30.0
17388,7899,9489,15009,66476.0,62763.0,49893.0,49375.0,74310.0,50297.0,72806,6977,74047,5505,146853,12482,15009,43.2,80.0,15009,28.6,51.0
764,274,490,19001,46526.0,46330.0,,,,,3329,296,3429,233,6758,529,19001,65.2,8.0,19001,42.3,5.0
388,177,211,19003,48043.0,48587.0,,,,,1787,128,1782,125,3569,253,19003,68.9,4.0,19003,,
1491,620,871,19005,45890.0,46212.0,19886.0,,,32863.0,6267,742,6077,667,12344,1409,19005,39.9,9.0,19005,35.3,8.0
1719,749,970,19007,41394.0,41801.0,,,,,5533,706,5627,672,11160,1378,19007,78.5,15.0,19007,56.3,11.0
552,204,348,19009,46979.0,46840.0,,,,,2562,254,2676,227,5238,481,19009,42.4,4.0,19009,,
2440,1215,1225,19011,60606.0,60820.0,,16250.0,,,12198,616,12243,509,24441,1125,19011,67.5,22.0,19011,50.2,17.0
19887,8889,10998,19013,48369.0,51200.0,25471.0,,51528.0,34397.0,59036,5024,62677,4475,121713,9499,19013,72.5,108.0,19013,56.3,84.0
2588,1093,1495,19015,52985.0,52616.0,,,,40938.0,11723,1177,12144,725,23867,1902,19015,61.3,21.0,19015,47.4,17.0
1894,671,1223,19017,62163.0,62058.0,125208.0,,,73500.0,11386,568,11904,318,23290,886,19017,41.6,14.0,19017,31.7,10.0
1970,843,1127,19019,56150.0,56487.0,,,,,9284,996,9578,887,18862,1883,19019,82.8,21.0,19019,56.2,15.0
2452,1068,1384,19021,48195.0,49912.0,19104.0,,74883.0,46411.0,9022,1388,8938,886,17960,2274,19021,40.9,10.0,19021,28.4,7.0
1322,533,789,19023,52360.0,52265.0,,,,,6876,437,6901,491,13777,928,19023,45.4,10.0,19023,35.4,8.0
1384,658,726,19025,44921.0,44842.0,,,73125.0,40000.0,4349,298,4471,263,8820,561,19025,54.6,9.0,19025,40.4,7.0
2047,675,1372,19027,50559.0,51558.0,13689.0,,,48750.0,9502,392,9945,427,19447,819,19027,60.8,18.0,19027,44.4,14.0
1855,888,967,19029,43750.0,43972.0,,20750.0,,47917.0,6042,505,6474,308,12516,813,19029,73.2,15.0,19029,57.1,12.0
1393,615,778,19031,59047.0,58619.0,,,58750.0,70278.0,8437,466,8851,379,17288,845,19031,66.5,16.0,19031,40.6,10.0
5665,2333,3332,19033,46122.0,46361.0,38628.0,,41125.0,37011.0,19432,1546,20426,1418,39858,2964,19033,65.8,43.0,19033,41.7,27.0
1281,565,716,19035,48599.0,48558.0,,,,22193.0,5309,509,5252,390,10561,899,19035,47.6,10.0,19035,36.3,8.0
1067,493,574,19037,47040.0,47344.0,,,,30556.0,5706,396,5630,384,11336,780,19037,52.9,10.0,19037,44.0,8.0
1493,658,835,19039,43327.0,42865.0,,,,23932.0,3958,680,4065,439,8023,1119,19039,70.6,9.0,19039,58.4,7.0
1848,727,1121,19041,50389.0,51044.0,,,,26445.0,7388,616,7707,544,15095,1160,19041,57.8,13.0,19041,41.5,10.0
1941,799,1142,19043,48007.0,48023.0,,,51154.0,35250.0,8115,684,8114,656,16229,1340,19043,60.3,16.0,19043,37.1,10.0
6608,2840,3768,19045,50498.0,52613.0,19125.0,,14420.0,43678.0,21990,1640,22956,1284,44946,2924,19045,64.1,42.0,19045,50.5,33.0
3367,1594,1773,19047,48084.0,47846.0,,58401.0,,41985.0,7484,1129,7631,807,15115,1936,19047,54.8,12.0,19047,33.6,8.0
4796,2038,2758,19049,76320.0,77282.0,41075.0,,78794.0,57583.0,34604,2002,36040,1736,70644,3738,19049,61.6,38.0,19049,36.7,22.0
1657,662,995,19051,48888.0,48842.0,,,86000.0,70250.0,3242,1023,3150,1212,6392,2235,19051,53.6,6.0,19051,36.9,4.0
1541,722,819,19053,38560.0,38682.0,,8580.0,,,3601,468,3449,622,7050,1090,19053,65.0,7.0,19053,40.5,5.0
1717,855,862,19055,58274.0,58612.0,,,,14671.0,8234,452,8359,297,16593,749,19055,38.4,9.0,19055,25.7,6.0
6010,2095,3915,19057,44423.0,45519.0,19318.0,,76375.0,23700.0,17543,1763,19146,1255,36689,3018,19057,86.7,49.0,19057,58.6,33.0
1100,433,667,19059,57265.0,57324.0,,,,117841.0,7864,524,7901,469,15765,993,19059,59.6,18.0,19059,41.3,12.0
11189,4826,6363,19061,54605.0,55889.0,18625.0,2499.0,47083.0,36944.0,44017,2826,45546,2267,89563,5093,19061,59.4,70.0,19061,46.7,56.0
1250,524,726,19063,47795.0,47732.0,,,,60324.0,4217,614,4425,389,8642,1003,19063,69.8,10.0,19063,45.3,7.0
2550,1189,1361,19065,44928.0,45513.0,8843.0,,,37759.0,9182,997,9220,835,18402,1832,19065,59.9,19.0,19065,40.2,13.0
1957,836,1121,19067,44797.0,44947.0,,,,54083.0,7168,721,7339,613,14507,1334,19067,65.7,16.0,19067,55.1,13.0
1372,651,721,19069,48605.0,50241.0,2499.0,,,31411.0,4792,399,4761,384,9553,783,19069,54.7,8.0,19069,45.3,7.0
757,372,385,19071,53324.0,53647.0,,,,42500.0,3162,317,3270,234,6432,551,19071,76.2,8.0,19071,63.0,7.0
1135,460,675,19073,46898.0,47261.0,,,80000.0,67700.0,4174,252,4412,221,8586,473,19073,63.7,9.0,19073,56.4,8.0
757,288,469,19075,56750.0,56648.0,,,,,5728,300,6002,225,11730,525,19075,48.7,9.0,19075,33.5,6.0
1199,515,684,19077,51013.0,51382.0,,,,57500.0,4793,474,4992,343,9785,817,19077,55.6,9.0,19077,51.9,9.0
1712,700,1012,19079,49813.0,51702.0,43710.0,,32132.0,,6519,842,7204,528,13723,1370,19079,64.7,14.0,19079,41.0,9.0
924,413,511,19081,52981.0,53187.0,,,,30500.0,5254,289,5137,260,10391,549,19081,58.8,9.0,19081,47.4,8.0
1454,584,870,19083,51019.0,50965.0,,28992.0,66833.0,47989.0,7755,617,7942,535,15697,1152,19083,58.5,16.0,19083,46.9,13.0
1398,633,765,19085,53567.0,53709.0,,,,38365.0,6389,699,6658,472,13047,1171,19085,86.4,18.0,19085,48.3,10.0
2695,1303,1392,19087,49321.0,48938.0,,,51938.0,32304.0,8589,702,8945,648,17534,1350,19087,70.4,18.0,19087,51.5,13.0
1081,472,609,19089,49869.0,50151.0,,,,,4305,326,4313,376,8618,702,19089,41.9,6.0,19089,35.7,5.0
1155,447,708,19091,47252.0,47466.0,,,,27188.0,4394,301,4616,246,9010,547,19091,54.5,9.0,19091,31.0,5.0
809,395,414,19093,46993.0,47633.0,,,,29750.0,3226,300,3149,267,6375,567,19093,55.6,6.0,19093,41.7,5.0
1391,615,776,19095,59375.0,60325.0,,,,81287.0,7475,521,7678,421,15153,942,19095,47.5,11.0,19095,40.6,9.0
2343,899,1444,19097,49028.0,49616.0,,,,53534.0,8854,774,8959,794,17813,1568,19097,66.1,18.0,19097,53.8,15.0
3342,1456,1886,19099,55033.0,55551.0,36635.0,,,,15903,1312,16644,1164,32547,2476,19099,72.4,36.0,19099,53.8,27.0
2311,1294,1017,19101,42899.0,43615.0,,,2499.0,,7808,1132,7504,729,15312,1861,19101,49.5,11.0,19101,34.6,7.0
23537,11609,11928,19103,55700.0,60022.0,27608.0,,39875.0,48688.0,62291,5726,65282,4449,127573,10175,19103,50.5,53.0,19103,36.7,37.0
1950,828,1122,19105,55060.0,55341.0,,,,33641.0,8896,559,9288,493,18184,1052,19105,57.8,17.0,19105,36.6,11.0
1374,613,761,19107,43838.0,44524.0,,,,29063.0,4763,393,4784,228,9547,621,19107,68.1,10.0,19107,55.1,9.0
1357,532,825,19109,51496.0,51899.0,,,,26174.0,7112,425,7158,327,14270,752,19109,58.0,14.0,19109,41.4,10.0
5791,2606,3185,19111,43312.0,43871.0,31953.0,,53654.0,35068.0,15554,1813,15861,1472,31415,3285,19111,73.2,36.0,19111,59.7,30.0
20747,9853,10894,19113,59322.0,60826.0,26900.0,40052.0,75086.0,35469.0,98672,7125,102735,6117,201407,13242,19113,65.7,152.0,19113,47.6,110.0
1357,589,768,19115,51144.0,52341.0,36023.0,,34712.0,48667.0,5331,366,5018,426,10349,792,19115,64.1,9.0,19115,44.9,6.0
1126,596,530,19117,43962.0,44635.0,,,,,3889,436,3961,312,7850,748,19117,60.1,8.0,19117,44.5,6.0
843,404,439,19119,57130.0,56956.0,,145750.0,,77857.0,5292,567,5245,449,10537,1016,19119,45.2,7.0,19119,24.4,3.0
1164,567,597,19121,60060.0,60226.0,,,44076.0,,7185,541,7336,395,14521,936,19121,58.2,11.0,19121,40.4,8.0
3206,1330,1876,19123,48726.0,49339.0,43088.0,47857.0,53000.0,34083.0,10334,800,10558,470,20892,1270,19123,79.1,22.0,19123,66.6,19.0
3124,1459,1665,19125,54693.0,54672.0,41250.0,,77054.0,35640.0,15729,734,15889,647,31618,1381,19125,57.4,24.0,19125,43.6,18.0
4429,2268,2161,19127,53351.0,54565.0,39167.0,,54458.0,46698.0,18265,1919,18398,1389,36663,3308,19127,65.8,35.0,19127,49.3,27.0
1300,667,633,19129,63979.0,64583.0,2499.0,8920.0,,117740.0,6865,528,6811,418,13676,946,19129,73.1,13.0,19129,49.1,9.0
1005,476,529,19131,49488.0,49426.0,,,,,4662,625,4802,456,9464,1081,19131,48.2,9.0,19131,24.8,5.0
